,Input_text,Category
0,information contained message may privileged confidential intended read individual entity addressed designee reader message intended recipient notice distribution message form strictly prohibited received message error please immediately notify sender delete destroy copy messagebeleg belegart lpa lieferant nannette wartha,Cancellation_Rescheduling
1,hi katherina please find attached updated order date change confirm receipt order rev rev rev rev thank best regard noreen quinn purchasing valeo vision system dunmore road tuam co galway ireland mail noreenquinnvaleocom mailtonoreenquinnvaleocom tel fax pace award winner mail message intended use intended recipient information contained therein may confidential privileged disclosure reproduction strictly prohibited intended recipient please return immediately sender address destroy updated ordersnoreen quinn,Cancellation_Rescheduling
2,hi george order cancelled due product transfer many thanks lynne lynne hughes operative buyer tridonic uk ltd house light butcher race spennymoor co durham dl je tel fax email lynnehughestridoniccom mailtolynnehughestridoniccom follow u youtube linkedin twitter facebook legal form company limited registered office linden road chineham business park crockford lane chineham basingstoke hampshire rg lb registered london vat gb content mail attachment confidential intended recipient may disclosed used copied way anyone intended recipient mail received error please immediately notify sender delete mail attached document please note neither sender sender company accept responsibility virus responsibility scan otherwise check mail attachment hughes lynne,Cancellation_Rescheduling
3,helloradu cancelled order rutronik released order later see feedback rutronikwe first receive order cancel see receiving recordsrutronik still sent order completely order infineon need cancelled accept order cancellation infineon order list vendor material description po quantity rutronik comment john action bspt grn invoiced keep bspt grn invoiced keep bspt grn way hk keep bspt grn keep keep bspt grn keep keep bspt grn first receive order cancel cancelled bspt grn first receive order cancel cancelled bspt grn first receive order cancel cancelled bspt grn first receive order cancel cancelled mit freundlichen gren best regard com o melhores cumprimentos saludos cordiales cu stim regard john liu procurement ningbo preh joyson automotive electronics co ltd juxian road hitech park ningbo zhejiang prc phone mobile yuanpingliuprehcn dokumenteundeinstellungenschaarerlokaleeinstellungenschaarerdokumenteundeinstellungenschaarerlokaleeinstellungenschaarerlokaleeinstellungentemp privilegedconfidential information may contained message intended use addressee please advise immediately employer consent internet mail message kind addressee person responsible delivering person addressed may copy deliver anyone else receive message mistake please notify sender immediately return mail commercial transaction offer acceptance exclusively subjectlimited conditioned upon applicable general term condition make available upon request object reject additionaldifferent term condition unless expressly agree signed writing thank yuanpingliuprehcn,Cancellation_Rescheduling
4,helloradu see confirmation order allocation part asked whether cancel two order check hope cancel thanks mit freundlichen gren best regard com o melhores cumprimentos saludos cordiales cu stim regard john liu procurement ningbo preh joyson automotive electronics co ltd juxian road hitech park ningbo zhejiang prc phone mobile yuanpingliuprehcn dokumenteundeinstellungenschaarerlokaleeinstellungenschaarerdokumenteundeinstellungenschaarerlokaleeinstellungenschaarerlokaleeinstellungentemp privilegedconfidential information may contained message intended use addressee please advise immediately employer consent internet mail message kind addressee person responsible delivering person addressed may copy deliver anyone else receive message mistake please notify sender immediately return mail commercial transaction offer acceptance exclusively subjectlimited conditioned upon applicable general term condition make available upon request object reject additionaldifferent term condition unless expressly agree signed writing thank yuanpingliuprehcn,Cancellation_Rescheduling
5,helloradu pc stock cancelling rutronik order released order rutronik still sent pc clear rutronik send ic kindly change delivery plan thanks po original reschedule quantity regard john liu procurement ningbo preh joyson automotive electronics co ltd juxian road hitech park ningbo zhejiang prc phone mobile yuanpingliuprehcn dokumenteundeinstellungenschaarerlokaleeinstellungenschaarerdokumenteundeinstellungenschaarerlokaleeinstellungenschaarerlokaleeinstellungentemp privilegedconfidential information may contained message intended use addressee please advise immediately employer consent internet mail message kind addressee person responsible delivering person addressed may copy deliver anyone else receive message mistake please notify sender immediately return mail commercial transaction offer acceptance exclusively subjectlimited conditioned upon applicable general term condition make available upon request object reject additionaldifferent term condition unless expressly agree signed writing thank po rescheduleyuanpingliuprehcn,Cancellation_Rescheduling
6,helloradu changed delivery date attached order delivery date every po arrival date factory please see attachment mit freundlichen gren best regard com o melhores cumprimentos saludos cordiales cu stim regard john liu procurement ningbo preh joyson automotive electronics co ltd juxian road hitech park ningbo zhejiang prc phone mobile yuanpingliuprehcn dokumenteundeinstellungenschaarerlokaleeinstellungenschaarerdokumenteundeinstellungenschaarerlokaleeinstellungenschaarerlokaleeinstellungentemp privilegedconfidential information may contained message intended use addressee please advise immediately employer consent internet mail message kind addressee person responsible delivering person addressed may copy deliver anyone else receive message mistake please notify sender immediately return mail commercial transaction offer acceptance exclusively subjectlimited conditioned upon applicable general term condition make available upon request object reject additionaldifferent term condition unless expressly agree signed writing thank order rescheduleyuanpingliuprehcn,Cancellation_Rescheduling
7,dear isabelle pleasecancel item iclg pc new order ill replace according quote item best regard elvira gayanova td symmetron ec russia tel elviragayanovasymmetronru mailtoelviragayanovasymmetronru gayanova elvira,Cancellation_Rescheduling
8,dear phebe please cancel line po please confirm thank best regard martina majer nabava purchasing nabavni referent purchasing officer elrad international ljutomerska cesta gornja radgona slovenia tel fax martinamajerelradintsi mailtomartinamajerelradintsi cancellationmartina majer,Cancellation_Rescheduling
9,hi christin pulled rd type pls improve delivery date kpcs rd pls confirm thank best regard urszula jad customer service epcos polska sp tdk group company office ulwybrzee gdyskie warszawa telephone fax mailto urszulajazdzepcoscom mailtokarolinatrybaexternalepcoscom urszula jazdz,Cancellation_Rescheduling
